depth10cm,Year,Yearly Avg Soil Temp (10CM),Yearly Avg Soil Temp (F) 10CM,Month/Year,Monthly Avg Soil Temp (10CM)
0.4,,,,1/1992,
0.5,,,,1/1992,
0.5,,,,2/1992,
0.5,,,,2/1992,
0.4,,,,2/1992,
0.5,,,,2/1992,
0.7,,,,3/1992,
0.6,,,,3/1992,
0.4,,,,3/1992,
0.4,,,,3/1992,
0.6,,,,4/1992,
0.7,,,,4/1992,
1.2,,,,4/1992,
1.1,,,,4/1992,
4.6,,,,4/1992,
8.3,,,,5/1992,
9.5,,,,5/1992,
15,,,,5/1992,
7.3,,,,5/1992,
15,,,,6/1992,
16,,,,6/1992,
17,,,,6/1992,
13.2,,,,6/1992,
12.4,,,,7/1992,
16.4,,,,7/1992,
16.8,,,,7/1992,
16.4,,,,7/1992,
16.5,,,,7/1992,
16.9,,,,8/1992,
18,,,,8/1992,
15.4,,,,8/1992,
15.1,,,,8/1992,
14,,,,9/1992,
13.9,,,,9/1992,
14.1,,,,9/1992,
12,,,,9/1992,
10,,,,9/1992,
10.5,,,,10/1992,
8.2,,,,10/1992,
5.6,,,,10/1992,
6.3,,,,10/1992,
4.5,,,,11/1992,
3.9,,,,11/1992,
2.7,,,,11/1992,
2.7,,,,11/1992,
2.2,,,,12/1992,
1.4,,,,12/1992,
1.2,,,,12/1992,
1,,,,12/1992,
0.8,,,,12/1992,
0.5,,,,1/1993,
0.4,,,,1/1993,
0.4,,,,1/1993,
0.4,,,,1/1993,
0.3,,,,2/1993,
0.3,,,,2/1993,
0.2,,,,2/1993,
0.2,,,,2/1993,
0.2,,,,3/1993,
0.2,,,,3/1993,
0.5,,,,3/1993,
0.5,,,,3/1993,
0.4,,,,3/1993,
0.6,,,,4/1993,
1,,,,4/1993,
2.2,,,,4/1993,
3.7,,,,4/1993,
7.7,,,,5/1993,
11.5,,,,5/1993,
9,,,,5/1993,
9.1,,,,5/1993,
9.6,,,,6/1993,
11.7,,,,6/1993,
13.3,,,,6/1993,
14.6,,,,6/1993,
13.7,,,,6/1993,
15.8,,,,7/1993,
16.2,,,,7/1993,
17.3,,,,7/1993,
18.5,,,,7/1993,
17,,,,8/1993,
18,,,,8/1993,
17.6,,,,8/1993,
17.7,,,,8/1993,
16.2,,,,9/1993,
13.8,,,,9/1993,
12.4,,,,9/1993,
11.5,,,,9/1993,
10,,,,9/1993,
8.2,,,,10/1993,
7.2,,,,10/1993,
6.7,,,,10/1993,
6.9,,,,10/1993,
5.2,,,,11/1993,
4.4,,,,11/1993,
3.8,,,,11/1993,
3.6,,,,11/1993,
3,,,,12/1993,
2.6,,,,12/1993,
2.4,,,,12/1993,
2.4,,,,12/1993,
1.4,,,,12/1993,
0.1,,,,1/1994,
0.4,,,,1/1994,
0.6,,,,1/1994,
0.6,,,,1/1994,
0,,,,2/1994,
0.6,,,,2/1994,
1,,,,2/1994,
0.5,,,,2/1994,
0.7,,,,3/1994,
0.9,,,,3/1994,
0.4,,,,3/1994,
0.9,,,,3/1994,
0.7,,,,3/1994,
0.7,,,,4/1994,
0.8,,,,4/1994,
1.8,,,,4/1994,
1.7,,,,4/1994,
4.7,,,,5/1994,
6.7,,,,5/1994,
8,,,,5/1994,
11.6,,,,5/1994,
11.5,,,,6/1994,
12.3,,,,6/1994,
14,,,,6/1994,
17,,,,6/1994,
17.8,,,,6/1994,
18.2,,,,7/1994,
16.9,,,,7/1994,
17.4,,,,7/1994,
16,,,,7/1994,
17.5,,,,8/1994,
14.9,,,,8/1994,
14.9,,,,8/1994,
14.7,,,,8/1994,
13.4,,,,9/1994,
13.4,,,,9/1994,
15.5,,,,9/1994,
14.5,,,,9/1994,
11.5,,,,9/1994,
10,,,,10/1994,
9.4,,,,10/1994,
10.9,,,,10/1994,
6.9,,,,10/1994,
5.9,,,,11/1994,
5,,,,11/1994,
3.4,,,,11/1994,
2.6,,,,12/1994,
2.1,,,,12/1994,
1.9,,,,12/1994,
1.7,,,,12/1994,
1.5,,,,12/1994,
1.2,,,,1/1995,
0.9,,,,1/1995,
1,,,,1/1995,
0.8,,,,1/1995,
0.4,,,,2/1995,
0.1,,,,2/1995,
-0.2,,,,2/1995,
0.1,,,,2/1995,
-0.1,,,,3/1995,
0.4,,,,3/1995,
-0.2,,,,3/1995,
-0.2,,,,3/1995,
0.6,,,,3/1995,
0.6,,,,4/1995,
0.4,,,,4/1995,
0.4,,,,4/1995,
0.5,,,,4/1995,
1.9,,,,5/1995,
2.6,,,,5/1995,
6,,,,5/1995,
6.9,,,,5/1995,
8.1,,,,6/1995,
13.7,,,,7/1995,
15,,,,7/1995,
16.9,,,,7/1995,
15.6,,,,7/1995,
15.2,,,,8/1995,
15.6,,,,8/1995,
14.8,,,,8/1995,
15.4,,,,8/1995,
15.1,,,,8/1995,
14.9,,,,9/1995,
13.2,,,,9/1995,
11.8,,,,9/1995,
10,,,,9/1995,
10.5,,,,10/1995,
9.6,,,,10/1995,
8,,,,10/1995,
5.2,,,,10/1995,
4.4,,,,11/1995,
3,,,,11/1995,
2.5,,,,11/1995,
2,,,,11/1995,
1.8,,,,11/1995,
1,,,,12/1995,
0.7,,,,12/1995,
0.4,,,,12/1995,
0.7,,,,12/1995,
1.4,,,,1/1996,
0.8,,,,1/1996,
0.4,,,,1/1996,
0.6,,,,1/1996,
0.8,,,,2/1996,
0.3,,,,2/1996,
0.3,,,,2/1996,
0.3,,,,2/1996,
0.2,,,,3/1996,
0.5,,,,3/1996,
0.6,,,,3/1996,
0.5,,,,3/1996,
-0.2,,,,4/1996,
0.1,,,,4/1996,
0.3,,,,4/1996,
0.6,,,,4/1996,
4.5,,,,5/1996,
7.1,,,,5/1996,
7.1,,,,5/1996,
10.9,,,,5/1996,
11.1,,,,5/1996,
11.4,,,,6/1996,
13,,,,6/1996,
13.5,,,,6/1996,
12.2,,,,6/1996,
15.9,,,,7/1996,
16,,,,7/1996,
15.4,,,,7/1996,
16.2,,,,7/1996,
15.3,,,,7/1996,
16.6,,,,8/1996,
16.3,,,,8/1996,
15.6,,,,8/1996,
14.7,,,,8/1996,
14.8,,,,9/1996,
14.7,,,,9/1996,
12.4,,,,9/1996,
11.7,,,,9/1996,
10.8,,,,10/1996,
9.6,,,,10/1996,
8.7,,,,10/1996,
7.5,,,,10/1996,
6.2,,,,10/1996,
3.7,,,,11/1996,
3.2,,,,11/1996,
2.7,,,,11/1996,
1.8,,,,11/1996,
1.9,,,,12/1996,
1.5,,,,12/1996,
1.1,,,,12/1996,
1.5,,,,12/1996,
1.3,,,,1/1997,
0.8,,,,1/1997,
0.8,,,,1/1997,
0.7,,,,1/1997,
0.1,,,,1/1997,
0.5,,,,2/1997,
0.8,,,,2/1997,
0.5,,,,2/1997,
0.6,,,,3/1997,
0.4,,,,3/1997,
0.7,,,,3/1997,
0.6,,,,3/1997,
0.2,,,,4/1997,
0.5,,,,4/1997,
0.7,,,,4/1997,
4.6,,,,4/1997,
6.7,,,,4/1997,
6.9,,,,5/1997,
6.1,,,,5/1997,
7.2,,,,5/1997,
9.1,,,,5/1997,
11.1,,,,6/1997,
12.3,,,,6/1997,
12.2,,,,6/1997,
13.4,,,,6/1997,
16.1,,,,7/1997,
13.8,,,,7/1997,
15.8,,,,7/1997,
16.4,,,,7/1997,
16.6,,,,7/1997,
16.1,,,,8/1997,
15.3,,,,8/1997,
14.7,,,,8/1997,
14.1,,,,8/1997,
13.3,,,,9/1997,
14.1,,,,9/1997,
11.9,,,,9/1997,
12,,,,9/1997,
11.2,,,,10/1997,
10.8,,,,10/1997,
8.3,,,,10/1997,
5.9,,,,10/1997,
4.3,,,,11/1997,
3.6,,,,11/1997,
2.6,,,,11/1997,
2.1,,,,12/1997,
2.4,,,,12/1997,
2.2,,,,12/1997,
2,,,,12/1997,
1.4,,,,12/1997,
1.2,,,,1/1998,
1.4,,,,1/1998,
1.1,,,,1/1998,
0.9,,,,1/1998,
1.2,,,,2/1998,
0.9,,,,2/1998,
0.7,,,,2/1998,
0.7,,,,2/1998,
1.2,,,,3/1998,
1,,,,3/1998,
0.6,,,,3/1998,
0.6,,,,3/1998,
0.6,,,,4/1998,
0.5,,,,4/1998,
0.6,,,,4/1998,
0.4,,,,4/1998,
1.1,,,,4/1998,
4.3,,,,5/1998,
6.1,,,,5/1998,
10.6,,,,5/1998,
10.1,,,,5/1998,
10.1,,,,6/1998,
9.1,,,,6/1998,
11,,,,6/1998,
13.4,,,,6/1998,
14.4,,,,7/1998,
15,,,,7/1998,
15.6,,,,7/1998,
15.3,,,,7/1998,
14.5,,,,7/1998,
14.2,,,,8/1998,
14.4,,,,8/1998,
14.2,,,,8/1998,
14.6,,,,8/1998,
13.3,,,,9/1998,
12.4,,,,9/1998,
13.2,,,,9/1998,
12.5,,,,9/1998,
11.6,,,,10/1998,
9.9,,,,10/1998,
9.7,,,,10/1998,
9,,,,10/1998,
8.1,,,,10/1998,
6.6,,,,11/1998,
4.4,,,,11/1998,
3.6,,,,11/1998,
2.6,,,,11/1998,
2.2,,,,12/1998,
1.7,,,,12/1998,
1.7,,,,12/1998,
0.9,,,,12/1998,
1.6,,,,12/1998,
0.5,,,,1/1999,
0.4,,,,1/1999,
0.7,,,,1/1999,
0.6,,,,1/1999,
0.6,,,,2/1999,
0.7,,,,2/1999,
0.5,,,,2/1999,
0.6,,,,2/1999,
0.3,,,,3/1999,
0.5,,,,3/1999,
0.4,,,,3/1999,
0.6,,,,3/1999,
0.4,,,,4/1999,
1,,,,4/1999,
2.3,,,,4/1999,
4.3,,,,4/1999,
6.7,,,,4/1999,
8.9,,,,5/1999,
8,,,,5/1999,
10.5,,,,5/1999,
10,,,,5/1999,
11.5,,,,6/1999,
12.9,,,,6/1999,
13.6,,,,6/1999,
12.7,,,,6/1999,
13.7,,,,6/1999,
15.6,,,,7/1999,
15.9,,,,7/1999,
16.8,,,,7/1999,
17.1,,,,7/1999,
16.8,,,,8/1999,
16.4,,,,8/1999,
16.4,,,,9/1999,
16.3,,,,9/1999,
13.9,,,,9/1999,
13.1,,,,9/1999,
9.5,,,,10/1999,
8.7,,,,10/1999,
7.2,,,,10/1999,
7,,,,11/1999,
5.7,,,,11/1999,
5.4,,,,11/1999,
3.5,,,,12/1999,
2.9,,,,12/1999,
2.2,,,,12/1999,
1.2,,,,12/1999,
1.8,,,,12/1999,
1.7,,,,1/2000,
12,,,,1/2000,
1,,,,1/2000,
0.8,,,,1/2000,
1.3,,,,1/2000,
0.7,,,,2/2000,
0.9,,,,2/2000,
0.5,,,,2/2000,
0.8,,,,2/2000,
0.7,,,,3/2000,
0.8,,,,3/2000,
0.7,,,,3/2000,
0.8,,,,3/2000,
0.6,,,,3/2000,
0.8,,,,4/2000,
0.5,,,,4/2000,
0.6,,,,4/2000,
0.5,,,,4/2000,
0.4,,,,5/2000,
0.7,,,,5/2000,
0.7,,,,5/2000,
7.4,,,,5/2000,
5,,,,5/2000,
7,,,,6/2000,
8.6,,,,6/2000,
9.6,,,,6/2000,
11.6,,,,6/2000,
12.4,,,,7/2000,
13.6,,,,7/2000,
14,,,,7/2000,
13.7,,,,7/2000,
14.3,,,,8/2000,
14.8,,,,8/2000,
14.7,,,,8/2000,
14.3,,,,8/2000,
13.9,,,,8/2000,
14.1,,,,8/2000,
13.6,,,,9/2000,
12.6,,,,9/2000,
11.9,,,,9/2000,
10.5,,,,9/2000,
10.2,,,,10/2000,
8.2,,,,10/2000,
8.4,,,,11/2000,
2.7,,,,11/2000,
2,,,,12/2000,
2.3,,,,12/2000,
1.9,,,,12/2000,
1.6,,,,12/2000,
1.7,,,,1/2001,
1,,,,1/2001,
1,,,,1/2001,
1.4,,,,1/2001,
0.8,,,,1/2001,
0.8,,,,2/2001,
0.7,,,,2/2001,
0.6,,,,2/2001,
0.5,,,,3/2001,
0.5,,,,3/2001,
0.5,,,,3/2001,
0.7,,,,3/2001,
0.5,,,,4/2001,
1.3,,,,4/2001,
0.7,,,,4/2001,
2.3,,,,4/2001,
6.6,,,,5/2001,
8,,,,5/2001,
9.9,,,,5/2001,
10.1,,,,5/2001,
10.5,,,,5/2001,
12,,,,6/2001,
13.8,,,,6/2001,
14.3,,,,6/2001,
15.3,,,,6/2001,
15.2,,,,7/2001,
14.9,,,,7/2001,
15.8,,,,7/2001,
16.6,,,,7/2001,
16.1,,,,8/2001,
16.8,,,,8/2001,
16.5,,,,8/2001,
15.5,,,,8/2001,
15.5,,,,8/2001,
14.6,,,,9/2001,
14.6,,,,9/2001,
13.4,,,,9/2001,
11.7,,,,9/2001,
11.1,,,,10/2001,
9.7,,,,10/2001,
9.5,,,,10/2001,
7.9,,,,10/2001,
6.7,,,,10/2001,
5.8,,,,11/2001,
5.7,,,,11/2001,
4,,,,11/2001,
3.3,,,,12/2001,
2.3,,,,12/2001,
2.2,,,,12/2001,
2.1,,,,12/2001,
2,,,,1/2002,
0.8,,,,1/2002,
0.9,,,,1/2002,
1.1,,,,2/2002,
0.8,,,,2/2002,
0.7,,,,2/2002,
0.6,,,,2/2002,
0.1,,,,3/2002,
0.5,,,,3/2002,
0,,,,3/2002,
0.6,,,,3/2002,
0,,,,4/2002,
0.3,,,,4/2002,
0.3,,,,4/2002,
0.3,,,,4/2002,
0.1,,,,4/2002,
0.4,,,,5/2002,
0.4,,,,5/2002,
0.4,,,,5/2002,
NA,,,,5/2002,
NA,,,,6/2002,
NA,,,,6/2002,
11,,,,6/2002,
17.6,,,,6/2002,
18.9,,,,7/2002,
18.8,,,,7/2002,
18.9,,,,7/2002,
17.6,,,,7/2002,
17.8,,,,8/2002,
17.8,,,,8/2002,
17.6,,,,8/2002,
15.8,,,,8/2002,
17.1,,,,8/2002,
16.6,,,,9/2002,
17.1,,,,9/2002,
15.4,,,,9/2002,
12,,,,9/2002,
11.5,,,,10/2002,
8.4,,,,10/2002,
6.1,,,,10/2002,
4.1,,,,10/2002,
3.5,,,,10/2002,
2.5,,,,11/2002,
2.3,,,,11/2002,
2,,,,11/2002,
1.3,,,,11/2002,
1.1,,,,12/2002,
0.9,,,,12/2002,
0.9,,,,12/2002,
0.8,,,,12/2002,
0.5,,,,12/2002,
-0.1,,,,1/2003,
-0.9,,,,1/2003,
-1.8,,,,1/2003,
-0.7,,,,1/2003,
-1.4,,,,2/2003,
-1.4,,,,2/2003,
-0.5,,,,2/2003,
-2.7,,,,2/2003,
-2.5,,,,3/2003,
-1.4,,,,3/2003,
-0.2,,,,3/2003,
-0.1,,,,3/2003,
-0.2,,,,4/2003,
-0.3,,,,4/2003,
0,,,,4/2003,
-0.1,,,,4/2003,
0.1,,,,4/2003,
-0.1,,,,5/2003,
0.1,,,,5/2003,
1.5,,,,5/2003,
2.9,,,,5/2003,
5,,,,6/2003,
7.3,,,,6/2003,
10.7,,,,6/2003,
11.7,,,,6/2003,
12.9,,,,7/2003,
12.5,,,,7/2003,
13.9,,,,7/2003,
13.8,,,,7/2003,
15.9,,,,7/2003,
15.6,,,,8/2003,
17.6,,,,8/2003,
15.3,,,,8/2003,
14.4,,,,9/2003,
14.7,,,,9/2003,
13.1,,,,9/2003,
11.3,,,,9/2003,
7.6,,,,10/2003,
10,,,,10/2003,
7.9,,,,10/2003,
6.8,,,,10/2003,
5,,,,10/2003,
3.2,,,,11/2003,
2.9,,,,11/2003,
2.6,,,,11/2003,
1.5,,,,11/2003,
1.4,,,,12/2003,
0.9,,,,12/2003,
0.5,,,,12/2003,
0.3,,,,12/2003,
0.3,,,,12/2003,
-0.7,,,,1/2004,
-0.1,,,,1/2004,
-0.7,,,,1/2004,
-1.3,,,,1/2004,
-0.3,,,,2/2004,
-0.4,,,,2/2004,
0.1,,,,2/2004,
-0.1,,,,2/2004,
-0.1,,,,3/2004,
0.1,,,,3/2004,
0.2,,,,3/2004,
1.1,,,,4/2004,
1,,,,4/2004,
4.1,,,,4/2004,
4.2,,,,4/2004,
4.7,,,,5/2004,
7.2,,,,5/2004,
7.7,,,,5/2004,
7.6,,,,5/2004,
9.3,,,,6/2004,
12.3,,,,6/2004,
13.5,,,,6/2004,
12.6,,,,6/2004,
13,,,,7/2004,
13.5,,,,7/2004,
15.8,,,,7/2004,
17.2,,,,7/2004,
15.8,,,,7/2004,
15.4,,,,8/2004,
13.2,,,,8/2004,
12.5,,,,8/2004,
14.2,,,,9/2004,
14.1,,,,9/2004,
14.9,,,,9/2004,
14.1,,,,9/2004,
11.2,,,,9/2004,
8.5,,,,10/2004,
9.4,,,,10/2004,
6.8,,,,10/2004,
6.9,,,,10/2004,
5.7,,,,11/2004,
4.3,,,,11/2004,
2.4,,,,11/2004,
1.7,,,,11/2004,
0.7,,,,12/2004,
0.7,,,,12/2004,
0.6,,,,12/2004,
0,,,,12/2004,
0.6,,,,12/2004,
0.5,,,,1/2005,
0.3,,,,1/2005,
-0.3,,,,1/2005,
0.2,,,,1/2005,
0.2,,,,2/2005,
0.1,,,,2/2005,
-0.3,,,,2/2005,
0.3,,,,2/2005,
0.2,,,,3/2005,
0.1,,,,3/2005,
0.2,,,,3/2005,
0.4,,,,3/2005,
3.9,,,,4/2005,
7.6,,,,4/2005,
4.7,,,,4/2005,
4.8,,,,5/2005,
7.7,,,,5/2005,
8.4,,,,5/2005,
11.1,,,,5/2005,
13.3,,,,6/2005,
14.3,,,,6/2005,
14.6,,,,6/2005,
17.2,,,,6/2005,
17,,,,6/2005,
16.9,,,,7/2005,
18.7,,,,7/2005,
18.9,,,,7/2005,
16.7,,,,7/2005,
18.9,,,,8/2005,
17.3,,,,8/2005,
15.4,,,,8/2005,
15.1,,,,8/2005,
13.7,,,,9/2005,
13,,,,9/2005,
13.7,,,,9/2005,
14.1,,,,9/2005,
10.6,,,,9/2005,
12.8,,,,10/2005,
7.8,,,,10/2005,
7.9,,,,10/2005,
5.7,,,,10/2005,
6.3,,,,11/2005,
5.7,,,,11/2005,
4.2,,,,11/2005,
2.3,,,,11/2005,
1,,,,12/2005,
1.3,,,,12/2005,
1.2,,,,12/2005,
0.3,,,,12/2005,
1.3,,,,12/2005,
1.7,,,,1/2006,
1,,,,1/2006,
1.2,,,,1/2006,
0.5,,,,1/2006,
0.6,,,,2/2006,
0.6,,,,2/2006,
0.5,,,,2/2006,
0,,,,2/2006,
0.5,,,,3/2006,
0.1,,,,3/2006,
0.4,,,,3/2006,
0.3,,,,3/2006,
0.5,,,,3/2006,
0.9,,,,4/2006,
4.9,,,,4/2006,
6.1,,,,4/2006,
5.6,,,,4/2006,
8.3,,,,5/2006,
9.6,,,,5/2006,
10,,,,5/2006,
10.7,,,,5/2006,
14.4,,,,6/2006,
14.9,,,,6/2006,
15.3,,,,6/2006,
15.9,,,,6/2006,
15,,,,6/2006,
15.6,,,,7/2006,
16.1,,,,7/2006,
17,,,,7/2006,
16.2,,,,7/2006,
18,,,,8/2006,
13.7,,,,8/2006,
13.7,,,,8/2006,
13.7,,,,8/2006,
13.7,,,,8/2006,
11.7,,,,9/2006,
9.5,,,,9/2006,
14.3,,,,9/2006,
11.2,,,,9/2006,
8,,,,10/2006,
3.6,,,,10/2006,
3.4,,,,10/2006,
3.4,,,,10/2006,
2.1,,,,11/2006,
3.7,,,,11/2006,
1.6,,,,11/2006,
1.5,,,,11/2006,
0.1,,,,11/2006,
-1.1,,,,12/2006,
-0.8,,,,12/2006,
-0.7,,,,12/2006,
-1.7,,,,12/2006,
-0.6,,,,1/2007,
-3.4,,,,1/2007,
-3.5,,,,1/2007,
-4.4,,,,1/2007,
-3.4,,,,1/2007,
-6.1,,,,2/2007,
-5.8,,,,2/2007,
-2.4,,,,2/2007,
1.4,,,,2/2007,
-0.5,,,,3/2007,
-0.1,,,,3/2007,
-0.3,,,,3/2007,
-0.4,,,,3/2007,
-0.4,,,,4/2007,
-0.4,,,,4/2007,
-0.4,,,,4/2007,
0,,,,4/2007,
0.4,,,,5/2007,
1.2,,,,5/2007,
1.3,,,,5/2007,
4.9,,,,5/2007,
6.7,,,,5/2007,
8.8,,,,6/2007,
12.8,,,,6/2007,
13.8,,,,6/2007,
14.6,,,,6/2007,
14.7,,,,7/2007,
16.2,,,,7/2007,
16.3,,,,7/2007,
14.4,,,,7/2007,
15.6,,,,7/2007,
13.7,,,,7/2007,
14.8,,,,7/2007,
19.6,,,,7/2007,
18.5,,,,8/2007,
17.3,,,,8/2007,
13.6,,,,8/2007,
16.6,,,,8/2007,
12,,,,8/2007,
17.7,,,,9/2007,
9.5,,,,9/2007,
8.3,,,,9/2007,
9.8,,,,9/2007,
9.7,,,,10/2007,
7.4,,,,10/2007,
9.9,,,,10/2007,
5.1,,,,10/2007,
4.8,,,,10/2007,
2.3,,,,11/2007,
2.1,,,,11/2007,
1.1,,,,11/2007,
-0.8,,,,11/2007,
-0.8,,,,12/2007,
-1,,,,12/2007,
-0.4,,,,12/2007,
-1.3,,,,12/2007,
-0.2,,,,1/2008,
-0.8,,,,1/2008,
-0.7,,,,1/2008,
-1.2,,,,1/2008,
-1.9,,,,1/2008,
-0.5,,,,2/2008,
-0.6,,,,2/2008,
-2.1,,,,2/2008,
-0.6,,,,2/2008,
-0.8,,,,3/2008,
-0.4,,,,3/2008,
-0.7,,,,3/2008,
-0.8,,,,3/2008,
-0.2,,,,4/2008,
-0.2,,,,4/2008,
0.2,,,,4/2008,
-0.1,,,,4/2008,
0.8,,,,4/2008,
1.7,,,,4/2008,
5.9,,,,5/2008,
4.3,,,,5/2008,
8.1,,,,5/2008,
9.3,,,,5/2008,
9.8,,,,6/2008,
10.7,,,,6/2008,
11.8,,,,6/2008,
16.1,,,,6/2008,
16.3,,,,7/2008,
13.3,,,,7/2008,
15.9,,,,7/2008,
16,,,,7/2008,
15.5,,,,8/2008,
14.8,,,,8/2008,
13.9,,,,8/2008,
12.2,,,,8/2008,
13,,,,9/2008,
11.6,,,,9/2008,
9.9,,,,9/2008,
12.7,,,,9/2008,
9.3,,,,9/2008,
8.8,,,,10/2008,
8,,,,10/2008,
5,,,,10/2008,
4,,,,10/2008,
3.9,,,,11/2008,
1.6,,,,11/2008,
0.7,,,,11/2008,
-1,,,,11/2008,
-2.2,,,,12/2008,
-1.6,,,,12/2008,
-0.9,,,,12/2008,
-0.7,,,,12/2008,
-0.8,,,,12/2008,
-0.5,,,,1/2009,
-1.6,,,,1/2009,
-1,,,,1/2009,
-1.7,,,,1/2009,
-0.9,,,,2/2009,
-0.7,,,,2/2009,
-1.4,,,,2/2009,
-1.1,,,,2/2009,
-1,,,,3/2009,
-0.3,,,,3/2009,
-0.2,,,,3/2009,
-0.1,,,,3/2009,
-0.4,,,,4/2009,
0,,,,4/2009,
-0.3,,,,4/2009,
3.3,,,,4/2009,
8.5,,,,5/2009,
9.7,,,,5/2009,
9.4,,,,5/2009,
9,,,,5/2009,
8,,,,6/2009,
10.3,,,,6/2009,
13.9,,,,6/2009,
17,,,,6/2009,
13.3,,,,7/2009,
14.5,,,,7/2009,
13.9,,,,8/2009,
18,,,,8/2009,
15.4,,,,8/2009,
15.4,,,,8/2009,
13.2,,,,9/2009,
15.3,,,,9/2009,
15.7,,,,9/2009,
13.2,,,,9/2009,
8.2,,,,9/2009,
8,,,,10/2009,
3.9,,,,10/2009,
4.1,,,,10/2009,
6.4,,,,10/2009,
2.6,,,,11/2009,
3.1,,,,11/2009,
1.3,,,,11/2009,
0.9,,,,11/2009,
0.7,,,,12/2009,
0,,,,12/2009,
-0.7,,,,12/2009,
-0.1,,,,12/2009,
-0.8,,,,12/2009,
-0.6,,,,1/2010,
-1.2,,,,1/2010,
-1.1,,,,1/2010,
-1.9,,,,1/2010,
-1,,,,2/2010,
-1.6,,,,2/2010,
-1,,,,2/2010,
-1.6,,,,2/2010,
-0.7,,,,3/2010,
-0.5,,,,3/2010,
0.2,,,,3/2010,
0,,,,3/2010,
0,,,,3/2010,
0.2,,,,4/2010,
0.4,,,,4/2010,
1,,,,4/2010,
0.5,,,,4/2010,
1,,,,5/2010,
3.5,,,,5/2010,
7.2,,,,5/2010,
12.8,,,,5/2010,
11.5,,,,6/2010,
12.4,,,,6/2010,
15.2,,,,6/2010,
16.3,,,,6/2010,
18.9,,,,6/2010,
16.4,,,,7/2010,
18,,,,7/2010,
18.1,,,,7/2010,
14.8,,,,7/2010,
17.7,,,,7/2010,
19.3,,,,8/2010,
19.3,,,,8/2010,
16.3,,,,8/2010,
16.7,,,,8/2010,
17.8,,,,9/2010,
12.9,,,,9/2010,
11.8,,,,9/2010,
10.2,,,,9/2010,
10.1,,,,9/2010,
9.1,,,,10/2010,
8.9,,,,10/2010,
6.4,,,,10/2010,
7.2,,,,10/2010,
3.3,,,,11/2010,
3.8,,,,11/2010,
1.4,,,,11/2010,
1.2,,,,11/2010,
-0.1,,,,12/2010,
-0.6,,,,12/2010,
0.6,,,,12/2010,
-1.4,,,,12/2010,
-0.4,,,,12/2010,
0.1,,,,1/2011,
-1,,,,1/2011,
-2.1,,,,1/2011,
0,,,,1/2011,
-0.2,,,,3/2011,
-0.5,,,,3/2011,
-0.3,,,,3/2011,
-0.1,,,,3/2011,
-0.2,,,,3/2011,
-0.1,,,,4/2011,
1.6,,,,4/2011,
2.5,,,,4/2011,
5.4,,,,4/2011,
6.1,,,,5/2011,
10.3,,,,5/2011,
10.1,,,,5/2011,
10.2,,,,5/2011,
10.3,,,,6/2011,
15.6,,,,6/2011,
