Year,Normalized Temperature Mean (F)
2013-04,0.505768778
2013-05,0.720744055
2013-06,0.867906758
2013-07,0.940310808
2013-08,0.944431363
2013-09,0.834118201
2013-10,0.627384036
2013-11,0.411113727
2013-12,0.073228161
2014-01,0.048622557
2014-02,0.100070638
2014-03,0.29691547
2014-04,0.533553096
2014-05,0.76100777
2014-06,0.888744996
2014-07,0.915234283
2014-08,0.914881093
2014-09,0.802448787
2014-10,0.636566988
2014-11,0.334589122
2014-12,0.329173534
2015-01,0.206616435
2015-02,0.116906051
2015-03,0.451141983
2015-04,0.613962797
2015-05,0.740875912
2015-06,0.882740758
2015-07,0.964563221
2015-08,0.916411585
2015-09,0.872615964
2015-10,0.660466211
2015-11,0.521309159
2015-12,0.383093949
2016-01,0.223569579
2016-02,0.285495644
2016-03,0.50729927
2016-04,0.591711797
2016-05,0.78985166
2016-06,0.878031552
2016-07,0.951259713
2016-08,0.940310808
2016-09,0.829408995
2016-10,0.67365199
2016-11,0.559453732
2016-12,0.233929833
2017-01,0.241464563
2017-02,0.318342359
2017-03,0.408641394
2017-04,0.631622322
2017-05,0.745820579
2017-06,0.887214504
2017-07,0.953261126
2017-08,0.885213092
2017-09,0.835766423
2017-10,0.6448081
2017-11,0.386743584
2017-12,0.189427831
2018-01,0.193312927
2018-02,0.167765482
2018-03,0.426065458
2018-04,0.499058159
2018-05,0.842006122
2018-06,0.909112315
2018-07,0.962561808
2018-08,0.932305157
2018-09,0.800800565
2018-10,0.570873558
2018-11,0.347068519
2018-12,0.301153756
2019-01,0.114551448
2019-02,0.205674594
2019-03,0.378267012
2019-04,0.587708971
2019-05,0.707558276
2019-06,0.877325171
2019-07,0.975041206
2019-08,0.87685425
2019-09,0.78996939
2019-10,0.620320226
2019-11,0.381327996
2019-12,0.255592183
